Date,Close
2000-05-30,79.63
2000-05-31,82.09
2000-06-01,82.88
2000-06-02,85.89
2000-06-05,85.39
2000-06-06,85.61
2000-06-07,85.28
2000-06-08,84.75
2000-06-09,85.05
2000-06-12,83.86
2000-06-13,85.3
2000-06-14,85.56
2000-06-15,85.5
2000-06-16,85.94
2000-06-19,88
2000-06-20,87.59
2000-06-21,87.69
2000-06-22,85.92
2000-06-23,85.34
2000-06-26,85.77
2000-06-27,85.61
2000-06-28,86.61
2000-06-29,85.17
2000-06-30,86.53
2000-07-03,87.27
2000-07-05,84.72
2000-07-06,86.06
2000-07-07,87.81
2000-07-10,87.27
2000-07-11,87.27
2000-07-12,88.92
2000-07-13,89.66
2000-07-14,91
2000-07-17,91.86
2000-07-18,90.5
2000-07-19,88.56
2000-07-20,90.5
2000-07-21,90.5
2000-07-24,87.16
2000-07-25,87.41
2000-07-26,86.56
2000-07-28,82.02
2000-07-31,83.14
2000-08-01,83.55
2000-08-02,83.55
2000-08-03,83.72
2000-08-04,84.2
2000-08-07,85.63
2000-08-08,85.88
2000-08-09,85.44
2000-08-10,84.25
2000-08-11,84.47
2000-08-14,85.94
2000-08-15,86.09
2000-08-16,85.77
2000-08-17,87.28
2000-08-18,87.28
2000-08-21,87.56
2000-08-22,87.75
2000-08-23,88.75
2000-08-24,89.5
2000-08-25,89.5
2000-08-28,90.28
2000-08-29,89.94
2000-08-30,89.38
2000-08-31,91
2000-09-01,91.13
2000-09-05,89.59
2000-09-06,87.47
2000-09-07,88.84
2000-09-08,87.44
2000-09-11,85.75
2000-09-12,85
2000-09-13,86.06
2000-09-14,85.94
2000-09-15,84.63
2000-09-18,83.34
2000-09-19,85.5
2000-09-20,84.25
2000-09-21,84.97
2000-09-22,84.75
2000-09-25,83.78
2000-09-26,83.16
2000-09-27,82.09
2000-09-28,84.38
2000-09-29,82.53
2000-10-02,81.09
2000-10-03,79.44
2000-10-04,81.25
2000-10-05,80.69
2000-10-06,78.88
2000-10-09,78.75
2000-10-10,76.09
2000-10-11,75.47
2000-10-12,72.88
2000-10-13,76.89
2000-10-16,77.22
2000-10-17,75.56
2000-10-18,75.91
2000-10-19,78.36
2000-10-20,79.25
2000-10-23,78.44
2000-10-24,77.78
2000-10-25,75.08
2000-10-26,75.25
2000-10-27,76.13
2000-10-30,75.33
2000-10-31,78.17
2000-11-01,78.11
2000-11-02,79.47
2000-11-03,79.59
2000-11-06,79.41
2000-11-07,79.56
2000-11-08,77
2000-11-09,75.59
2000-11-10,73.45
2000-11-13,72.08
2000-11-14,74.52
2000-11-15,74.3
2000-11-16,73.59
2000-11-17,73.08
2000-11-20,71.02
2000-11-21,71.39
2000-11-22,69.45
2000-11-24,70.88
2000-11-27,72.23
2000-11-28,69.25
2000-11-29,69.36
2000-11-30,66.94
2000-12-01,67.88
2000-12-04,68.08
2000-12-05,72.16
2000-12-06,70.84
2000-12-07,69.92
2000-12-08,72.47
2000-12-11,74.03
2000-12-12,72.78
2000-12-13,70.83
2000-12-14,70.25
2000-12-15,67.5
2000-12-18,67.03
2000-12-19,65.58
2000-12-20,62.28
2000-12-21,62.05
2000-12-22,65
2000-12-26,64.83
2000-12-27,65.69
2000-12-28,65.89
2000-12-29,64.63
2001-01-02,61
2001-01-03,66.91
2001-01-04,66.08
2001-01-05,62.8
2001-01-08,62.25
2001-01-09,63.19
2001-01-10,64.66
2001-01-11,66.72
2001-01-12,66.38
2001-01-16,66.09
2001-01-17,67.16
2001-01-18,69.19
2001-01-19,69.06
2001-01-22,68.36
2001-01-23,69.92
2001-01-24,70.27
