Date,Close
2004-09-29,49.85
2004-09-30,50.25
2004-10-01,51.18
2004-10-04,51.4
2004-10-05,51.39
2004-10-06,51.63
2004-10-07,51.1
2004-10-08,51.35
2004-10-11,51.15
2004-10-12,51.32
2004-10-13,51.45
2004-10-14,51.85
2004-10-15,52.38
2004-10-18,52.66
2004-10-19,52.38
2004-10-20,52.13
2004-10-21,52.66
2004-10-22,52.24
2004-10-25,51.99
2004-10-26,52.48
2004-10-27,53.1
2004-10-28,53.13
2004-10-29,53.1
2004-11-01,53.62
2004-11-02,53.1
2004-11-03,53.64
2004-11-04,54.45
2004-11-05,52.98
2004-11-08,53.12
2004-11-09,53.32
2004-11-10,53.7
2004-11-11,54.14
2004-11-12,55.2
2004-11-15,55.9
2004-11-16,55.56
2004-11-17,54.27
2004-11-18,54.18
2004-11-19,53.62
2004-11-22,53.99
2004-11-23,54.22
2004-11-24,55.16
2004-11-26,55.1
2004-11-29,54.9
2004-11-30,55.2
2004-12-01,56.27
2004-12-02,55.79
2004-12-03,56.54
2004-12-06,56.81
2004-12-07,56.09
2004-12-08,56.24
2004-12-09,56.65
2004-12-10,57.13
2004-12-13,56.97
2004-12-14,56.92
2004-12-15,57.03
2004-12-16,56.51
2004-12-17,57.15
2004-12-20,56.95
2004-12-21,57.6
2004-12-23,56.32
2004-12-27,55.9
2004-12-28,56.11
2004-12-29,56.43
2004-12-30,56.7
2004-12-31,56.55
2005-01-03,55.89
2005-01-04,55.05
2005-01-05,53.22
2005-01-06,53.63
2005-01-07,53.51
2005-01-10,53.34
2005-01-11,52.8
2005-01-12,52.55
2005-01-13,52.55
2005-01-14,53.2
2005-01-18,53.72
2005-01-19,53.77
2005-01-20,53.6
2005-01-21,53.65
2005-01-24,53.22
2005-01-25,52.22
2005-01-26,52.06
2005-01-27,51.69
2005-01-28,51.77
2005-01-31,51.71
2005-02-01,52.09
2005-02-02,52.67
2005-02-03,52.83
2005-02-04,53.55
2005-02-07,53.37
2005-02-08,53.5
2005-02-09,53.84
2005-02-10,54.25
2005-02-11,54.41
2005-02-14,54.42
2005-02-15,54.66
2005-02-16,54.98
2005-02-17,54.94
2005-02-18,54.46
2005-02-22,52.9
2005-02-23,52.7
2005-02-24,52.74
2005-02-25,53.5
2005-02-28,53.35
2005-03-01,53.91
2005-03-02,53.55
2005-03-03,53.84
2005-03-04,54.85
2005-03-07,55.11
2005-03-08,54.8
2005-03-09,53.25
2005-03-10,53.61
2005-03-11,53.01
2005-03-14,53.75
2005-03-15,53.68
2005-03-16,53.04
2005-03-17,53.6
2005-03-18,53.41
2005-03-21,53.05
2005-03-22,52.1
2005-03-23,52.01
2005-03-28,51.24
2005-03-29,51.26
2005-03-30,51.94
2005-03-31,51.82
2005-04-01,51.85
2005-04-04,51.62
2005-04-05,51.5
2005-04-06,51.77
2005-04-07,52.24
2005-04-08,52
2005-04-11,52.05
2005-04-12,52.75
2005-04-13,52.81
2005-04-14,52.31
2005-04-15,52.7
2005-04-18,52.62
2005-04-19,52.88
2005-04-20,52.75
2005-04-21,52.74
2005-04-22,53.15
2005-04-25,53.73
2005-04-26,53.8
2005-04-27,54.22
2005-04-28,54.09
2005-04-29,54.81
2005-05-02,54.77
2005-05-03,54.85
2005-05-04,54.9
2005-05-05,55.6
2005-05-06,54.9
2005-05-09,55.85
2005-05-10,55.85
2005-05-11,55.88
2005-05-12,55.32
2005-05-13,55.3
2005-05-16,55.56
2005-05-17,56.05
2005-05-18,56.6
2005-05-19,57.35
2005-05-20,57.47
2005-05-23,57.6
2005-05-24,56.8
2005-05-25,56.1
2005-05-26,55.86
2005-05-27,56.15
2005-05-31,56.74
2005-06-01,57.39
2005-06-02,57.19
2005-06-03,57.2
2005-06-06,57.63
2005-06-07,58.12
2005-06-08,58.36
2005-06-09,58.42
2005-06-10,58.3
2005-06-13,58.57
2005-06-14,59.05
2005-06-15,59.18
2005-06-16,59.24
2005-06-17,59.91
2005-06-20,59.86
2005-06-21,59.35
2005-06-22,59.26
2005-06-23,59.05
2005-06-24,58.93
2005-06-28,58.5
2005-06-29,58.69
2005-06-30,58.7
2005-07-01,59.2
2005-07-05,59.95
2005-07-06,59.8
2005-07-07,59.86
2005-07-08,60.88
2005-07-11,61.62
2005-07-12,61.61
2005-07-13,61.25
2005-07-14,60.23
2005-07-15,60.48
2005-07-18,60.64
2005-07-19,61.1
2005-07-20,61.64
2005-07-21,60.77
2005-07-22,61.25
2005-07-25,61.25
2005-07-26,61.93
2005-07-27,62.1
2005-07-28,62.97
2005-07-29,62.89
2005-08-01,62.85
2005-08-02,63.3
2005-08-03,63.15
2005-08-04,62.08
2005-08-05,59.93
2005-08-08,57.77
2005-08-09,58.04
2005-08-10,58.6
2005-08-11,59.38
2005-08-12,59.33
2005-08-15,59.89
2005-08-16,60.24
2005-08-17,59.76
2005-08-18,59.36
2005-08-19,59.15
2005-08-22,59.33
2005-08-23,59.58
2005-08-24,59.79
2005-08-25,59.86
2005-08-26,59.12
2005-08-29,59.13
2005-08-30,59.31
2005-08-31,60.34
2005-09-01,60.88
2005-09-02,60.72
2005-09-06,62.02
2005-09-07,61.89
2005-09-08,61.49
2005-09-09,61.8
2005-09-12,61.61
2005-09-13,61.14
2005-09-14,61.09
2005-09-15,61.12
2005-09-16,61.25
2005-09-19,60.77
2005-09-20,60.3
2005-09-21,58.97
2005-09-22,59.29
2005-09-23,59.34
2005-09-27,58.98
2005-09-28,58.41
2005-09-29,59.5
2005-09-30,60.45
2005-10-03,60.27
2005-10-04,59.25
2005-10-05,58.33
2005-10-06,58.25
2005-10-07,57.65
2005-10-10,56.91
2005-10-11,56.66
2005-10-12,55.64
2005-10-13,55.65
2005-10-14,56.94
2005-10-17,57.27
2005-10-18,56.72
2005-10-19,57.36
